Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
68;1,8763;1369,73;16436,75;1,3476;983,73;11804,78;35414,35;2,9082;2122,99;25475,85;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.8xlarge;32;256;49013;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
69;0,1352;98,69;1184,23;0,101;73,7;884,42;2653,27;0,2233;163,02;1956,22;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.large;2;16;3063;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
70;7,3531;5367,74;64412,89;5,2526;3834,37;46012,42;138037,26;11,3102;8256,48;99077,73;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.metal;128;1024;203600;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
71;0,2712;198;2375,95;0,2011;146,78;1761,35;5284,05;0,3987;291,06;3492,72;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;i4i.xlarge;4;32;6127;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
72;1,4297;1043,69;12524,31;1,0632;776,12;9313,41;27940,23;2,139;1561,48;18737,75;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.10xlarge;40;160;47320;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
73;2,2706;1657,54;19890,5;1,6842;1229,45;14753,36;44260,07;3,3711;2460,89;29530,7;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.16xlarge;64;256;75770;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
74;0,3085;225,23;2702,73;0,2352;171,7;2060,4;6181,21;0,4963;362,26;4347,16;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.2xlarge;8;32;9464;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
75;0,5888;429,84;5158,13;0,4422;322,79;3873,47;11620,4;0,9069;662,07;7944,81;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.4xlarge;16;64;18928;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
76;0,0983;71,77;861,19;0,0736;53,71;644,58;1933,74;0,1882;137,41;1648,92;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.large;2;8;2366;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
77;0,1684;122,92;1475,04;0,1318;96,19;1154,25;3462,74;0,2909;212,36;2548,33;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m4.xlarge;4;16;4732;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
78;1,5161;1106,78;13281,32;1,0481;765,12;9181,5;27544,49;2,447;1786,33;21435,99;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.12xlarge;48;192;67615;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
79;2,0115;1468,42;17620,98;1,3886;1013,71;12164,55;36493,64;3,2342;2360,96;28331,48;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.16xlarge;64;256;90153;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
80;3,004;2192,94;26315,3;2,0689;1510,26;18123,15;54369,46;4,8085;3510,21;42122,46;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.24xlarge;96;384;135230;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
